"invx1  |  cell_rise  (rows=input_transition, cols=cload)  [ns]"
tin \ cload,0.0005,0.0013,0.0035,0.0094,0.0249,0.0662,0.1758
0.0100 ns,0.009896008,0.01043148,0.01187677,0.01558869,0.02454349,0.04644915,0.1025447
0.0231 ns,0.01305532,0.01352211,0.01480045,0.01821443,0.02695812,0.04906688,0.1054926
0.0531 ns,0.01870944,0.01944332,0.02128595,0.02543753,0.03379781,0.05563594,0.112309
0.1225 ns,0.02663281,0.02773935,0.03059747,0.03701535,0.04951246,0.07243948,0.1287223
0.2823 ns,0.03915949,0.04078411,0.04490732,0.05445292,0.07371668,0.1084915,0.168454
0.6507 ns,0.06244398,0.06461364,0.07023805,0.08342793,0.1110644,0.1639417,0.2540838
1.5000 ns,0.1091007,0.1119582,0.1194025,0.137162,0.1749993,0.2501263,0.3870314

"nand2x4  |  cell_fall  (rows=input_transition, cols=cload)  [ns]"
tin \ cload,0.0005,0.0013,0.0035,0.0094,0.0249,0.0662,0.1758
0.0100 ns,0.008470485,0.00881187,0.009730033,0.01206645,0.0177683,0.03222738,0.07003166
0.0231 ns,0.01048262,0.0108885,0.01187433,0.01419952,0.01997879,0.03458259,0.07248348
0.0531 ns,0.01263507,0.01327065,0.01478454,0.01834345,0.02543742,0.04018747,0.07820774
0.1225 ns,0.01382194,0.01475408,0.01713915,0.02249148,0.03324558,0.05304819,0.09167764
0.2823 ns,0.01165179,0.01297664,0.01651189,0.02446268,0.0406675,0.07062256,0.1222643
0.6507 ns,-0.0005096438,0.001524005,0.006671157,0.01846027,0.04239405,0.087183,0.1651196
1.5000 ns,-0.03732944,-0.03449445,-0.02716427,-0.01014108,0.02483059,0.09082952,0.207241

"nand2x4  |  rise_transition  (rows=input_transition, cols=cload)  [ns]"
tin \ cload,0.0005,0.0013,0.0035,0.0094,0.0249,0.0662,0.1758
0.0100 ns,0.006201276,0.006795187,0.00841024,0.01274618,0.02415042,0.05453867,0.1351855
0.0231 ns,0.006610154,0.007080887,0.008445117,0.01275717,0.0241493,0.05454035,0.135187
0.0531 ns,0.01147105,0.01188794,0.01281869,0.01548079,0.02488371,0.05455634,0.1351919
0.1225 ns,0.01842063,0.01929792,0.0211976,0.02576931,0.03391369,0.05731882,0.1352185
0.2823 ns,0.0297046,0.03081882,0.03385875,0.04111874,0.05482349,0.07860121,0.141548
0.6507 ns,0.05023237,0.0517933,0.05601063,0.06616465,0.08762535,0.1262798,0.1887242
1.5000 ns,0.09399134,0.09578154,0.1007228,0.1133585,0.1423139,0.2014517,0.3019327

"nand2x4  |  fall_transition  (rows=input_transition, cols=cload)  [ns]"
tin \ cload,0.0005,0.0013,0.0035,0.0094,0.0249,0.0662,0.1758
0.0100 ns,0.004508459,0.004866876,0.005866224,0.008534232,0.01553888,0.03418035,0.0836229
0.0231 ns,0.005384091,0.00568933,0.00644413,0.008723726,0.01555195,0.03418949,0.08362553
0.0531 ns,0.008248226,0.008758306,0.009819701,0.01244416,0.01768399,0.03442222,0.08364341
0.1225 ns,0.01321184,0.01362509,0.01569761,0.01887526,0.0264376,0.04099273,0.08442651
0.2823 ns,0.02218066,0.02325735,0.02553139,0.03078268,0.0414021,0.0613459,0.09958205
0.6507 ns,0.04098631,0.04229148,0.04553727,0.05300347,0.06811328,0.09687685,0.1484083
1.5000 ns,0.0816866,0.08326217,0.08741277,0.09749773,0.1187232,0.1595035,0.2335989


"nor2x1  |  cell_rise  (rows=input_transition, cols=cload)  [ns]"
tin \ cload,0.0005,0.0013,0.0035,0.0094,0.0249,0.0662,0.1758
0.0100 ns,0.01136646,0.01345636,0.01874267,0.03174478,0.06457588,0.1512117,0.3807234
0.0231 ns,0.01381821,0.01569028,0.02082261,0.03392226,0.06695124,0.1537131,0.3832821
0.0531 ns,0.01859712,0.0212433,0.02704541,0.03979953,0.07290477,0.1598397,0.3895122
0.1225 ns,0.02411026,0.02817742,0.03715716,0.05432815,0.08759554,0.1744943,0.4042693
0.2823 ns,0.03050088,0.03648711,0.0499401,0.07618865,0.12169,0.2092154,0.4386964
0.6507 ns,0.03778885,0.04613162,0.06527654,0.1039074,0.1731119,0.2900029,0.5193894
1.5000 ns,0.04506627,0.05646776,0.08302563,0.1375328,0.2389016,0.4164482,0.7093399

"nor2x1  |  cell_fall  (rows=input_transition, cols=cload)  [ns]"
tin \ cload,0.0005,0.0013,0.0035,0.0094,0.0249,0.0662,0.1758
0.0100 ns,0.01326206,0.01528037,0.02042948,0.03271186,0.06267871,0.1409104,0.3477251
0.0231 ns,0.0153815,0.01733244,0.02246644,0.03509138,0.06553273,0.1440632,0.3510149
0.0531 ns,0.02056189,0.02292437,0.0282658,0.04081077,0.0717237,0.150721,0.3579336
0.1225 ns,0.02720782,0.03087866,0.03908143,0.05521086,0.08647891,0.1659843,0.3736233
0.2823 ns,0.03481308,0.0404113,0.05304647,0.07780182,0.1209059,0.2017957,0.4098397
0.6507 ns,0.04292445,0.05116133,0.06988328,0.1071869,0.1732791,0.2842641,0.4942256
1.5000 ns,0.05017311,0.0620201,0.08907761,0.1433832,0.2420907,0.4122625,0.6901968

"nor2x1  |  rise_transition  (rows=input_transition, cols=cload)  [ns]"
tin \ cload,0.0005,0.0013,0.0035,0.0094,0.0249,0.0662,0.1758
0.0100 ns,0.01091619,0.013332,0.01991635,0.03741648,0.08313677,0.2047246,0.5272454
0.0231 ns,0.01081936,0.01304923,0.01978012,0.03739542,0.08313845,0.2047258,0.527246
0.0531 ns,0.0157375,0.01701884,0.02176009,0.03739381,0.08314093,0.2047318,0.5272464
0.1225 ns,0.02129207,0.0240934,0.03160457,0.04470012,0.08410087,0.2047498,0.5272567
0.2823 ns,0.03284857,0.03723206,0.04668187,0.06586914,0.1011982,0.2066412,0.5272564
0.6507 ns,0.05545674,0.06138452,0.07530924,0.1031138,0.1520634,0.2435354,0.5295588
1.5000 ns,0.1014367,0.1089008,0.1274952,0.1673459,0.2407736,0.3649103,0.6047618

"nor2x1  |  fall_transition  (rows=input_transition, cols=cload)  [ns]"
tin \ cload,0.0005,0.0013,0.0035,0.0094,0.0249,0.0662,0.1758
0.0100 ns,0.005895371,0.007841703,0.01319879,0.0275796,0.06537181,0.1660713,0.4333053
0.0231 ns,0.005942456,0.007857639,0.01320267,0.02758943,0.06537263,0.1660721,0.4333057
0.0531 ns,0.00868038,0.01000027,0.01421134,0.02760987,0.06538886,0.1660756,0.433307
0.1225 ns,0.01501664,0.01733864,0.02262924,0.03317213,0.06597438,0.1660865,0.4333177
0.2823 ns,0.02475621,0.02894096,0.03748107,0.05341969,0.08136605,0.1676632,0.4333137
0.6507 ns,0.0441981,0.04992067,0.06272553,0.08759564,0.1299052,0.2031462,0.4358028
1.5000 ns,0.08541225,0.0927452,0.1100262,0.1455279,0.2102746,0.318598,0.5104138


"nor2x2  |  cell_rise  (rows=input_transition, cols=cload)  [ns]"
tin \ cload,0.0005,0.0013,0.0035,0.0094,0.0249,0.0662,0.1758
0.0100 ns,0.01047208,0.01153727,0.01431603,0.0211348,0.03774594,0.08074706,0.1941325
